"Table with row headers in columns A and B, column headers in rows 4 and 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table HIC-4_ACS. Health Insurance Coverage Status and Type of Coverage by State All People: 2008 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Numbers in thousands. Civilian noninstitutionalized population. Margins of error calculated using replicate weights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nation/State,Coverage,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,,2009,,,,2008,,,
,..Medicare,"1,500",9,17.0,0.1,"1,492",9,16.8,0.1,"1,450",10,16.4,0.1,"1,420",7,16.0,0.1,"1,379",8,15.6,0.1,"1,357",10,15.4,0.1,"1,334",8,15.2,0.1,"1,281",8,14.7,0.1,"1,254",8,14.4,0.1,"1,239",9,14.4,0.1,"1,225",8,14.3,0.1
,..VA Care,94,4,1.1,Z,96,5,1.1,0.1,94,4,1.1,0.1,92,4,1.0,Z,93,5,1.0,0.1,95,4,1.1,0.1,96,5,1.1,0.1,93,4,1.1,0.1,94,5,1.1,0.1,96,5,1.1,0.1,105,4,1.2,Z
NEW MEXICO,Total,"2,061",2,100.0,Z,"2,054",1,100.0,Z,"2,046",1,100.0,Z,"2,050",1,100.0,Z,"2,050",1,100.0,Z,"2,052",1,100.0,Z,"2,052",1,100.0,Z,"2,047",2,100.0,Z,"2,033",1,100.0,Z,"1,976",2,100.0,Z,"1,952",2,100.0,Z
,Any coverage,"1,864",12,90.5,0.6,"1,867",12,90.9,0.6,"1,858",11,90.8,0.5,"1,826",9,89.1,0.5,"1,753",10,85.5,0.5,"1,669",13,81.4,0.6,"1,674",10,81.6,0.5,"1,641",14,80.2,0.7,"1,634",14,80.4,0.7,"1,586",11,80.3,0.6,"1,548",11,79.3,0.6
,Uninsured,196,12,9.5,0.6,187,12,9.1,0.6,188,10,9.2,0.5,224,9,10.9,0.5,298,10,14.5,0.5,382,13,18.6,0.6,378,10,18.4,0.5,406,14,19.8,0.7,399,14,19.6,0.7,390,11,19.7,0.6,404,11,20.7,0.6
,Private,"1,119",20,54.3,0.9,"1,119",22,54.4,1.1,"1,127",18,55.1,0.9,"1,120",16,54.6,0.8,"1,113",16,54.3,0.8,"1,097",17,53.5,0.8,"1,126",16,54.9,0.8,"1,089",18,53.2,0.9,"1,133",18,55.8,0.9,"1,118",18,56.6,0.9,"1,126",17,57.7,0.9
,..Employer-based,901,19,43.7,0.9,887,22,43.2,1.1,894,20,43.7,1.0,884,15,43.1,0.8,886,15,43.2,0.7,894,17,43.6,0.8,921,16,44.9,0.8,892,19,43.6,0.9,927,16,45.6,0.8,910,18,46.0,0.9,931,17,47.7,0.9
,..Direct-purchase,212,7,10.3,0.4,222,10,10.8,0.5,220,9,10.8,0.4,220,9,10.7,0.4,216,8,10.5,0.4,186,9,9.1,0.4,209,8,10.2,0.4,203,9,9.9,0.4,221,10,10.9,0.5,226,9,11.5,0.5,223,8,11.4,0.4
,..TRICARE,88,6,4.3,0.3,89,6,4.3,0.3,84,7,4.1,0.4,88,7,4.3,0.3,84,6,4.1,0.3,85,6,4.2,0.3,87,7,4.2,0.3,85,7,4.2,0.3,83,7,4.1,0.3,79,6,4.0,0.3,74,6,3.8,0.3
,Public,"1,018",16,49.4,0.8,"1,011",18,49.2,0.9,985,17,48.2,0.9,955,14,46.6,0.7,878,15,42.8,0.7,806,13,39.3,0.6,778,13,37.9,0.6,772,14,37.7,0.7,735,14,36.2,0.7,691,13,34.9,0.6,642,12,32.9,0.6
,..Medicaid,679,17,32.9,0.8,682,17,33.2,0.8,665,16,32.5,0.8,637,14,31.1,0.7,569,15,27.8,0.7,504,12,24.6,0.6,483,12,23.5,0.6,493,13,24.1,0.6,464,13,22.8,0.7,430,13,21.7,0.7,395,12,20.3,0.6
,..Medicare,413,5,20.0,0.3,396,5,19.3,0.3,384,6,18.7,0.3,377,5,18.4,0.3,365,6,17.8,0.3,356,5,17.3,0.2,339,5,16.5,0.2,320,5,15.6,0.2,309,5,15.2,0.2,301,4,15.2,0.2,287,4,14.7,0.2
,..VA Care,63,4,3.1,0.2,68,5,3.3,0.2,62,4,3.0,0.2,62,4,3.0,0.2,65,4,3.2,0.2,63,5,3.1,0.2,65,4,3.2,0.2,62,4,3.0,0.2,54,4,2.6,0.2,58,4,2.9,0.2,55,4,2.8,0.2
NEW YORK,Total,"19,303",3,100.0,Z,"19,608",2,100.0,Z,"19,506",2,100.0,Z,"19,556",2,100.0,Z,"19,500",2,100.0,Z,"19,400",2,100.0,Z,"19,317",2,100.0,Z,"19,208",2,100.0,Z,"19,134",3,100.0,Z,"19,264",2,100.0,Z,"19,206",3,100.0,Z
,Any coverage,"18,261",24,94.6,0.1,"18,495",27,94.3,0.1,"18,323",26,93.9,0.1,"18,176",25,92.9,0.1,"17,803",28,91.3,0.1,"17,331",31,89.3,0.2,"17,214",30,89.1,0.2,"17,013",33,88.6,0.2,"16,857",36,88.1,0.2,"17,070",36,88.6,0.2,"17,012",35,88.6,0.2
,Uninsured,"1,041",24,5.4,0.1,"1,113",27,5.7,0.1,"1,183",26,6.1,0.1,"1,381",25,7.1,0.1,"1,697",28,8.7,0.1,"2,070",30,10.7,0.2,"2,103",30,10.9,0.2,"2,195",33,11.4,0.2,"2,277",35,11.9,0.2,"2,195",35,11.4,0.2,"2,194",35,11.4,0.2
,Private,"12,976",49,67.2,0.3,"13,124",59,66.9,0.3,"12,993",50,66.6,0.3,"12,886",47,65.9,0.2,"12,772",58,65.5,0.3,"12,619",55,65.0,0.3,"12,630",46,65.4,0.2,"12,496",54,65.1,0.3,"12,628",50,66.0,0.3,"13,075",53,67.9,0.3,"13,346",53,69.5,0.3
,..Employer-based,"10,895",50,56.4,0.3,"10,965",56,55.9,0.3,"10,880",48,55.8,0.2,"10,895",51,55.7,0.3,"10,939",57,56.1,0.3,"10,955",51,56.5,0.3,"11,090",46,57.4,0.2,"10,951",50,57.0,0.3,"11,026",55,57.6,0.3,"11,443",59,59.4,0.3,"11,685",58,60.8,0.3
,..Direct-purchase,"2,568",34,13.3,0.2,"2,587",38,13.2,0.2,"2,530",32,13.0,0.2,"2,383",31,12.2,0.2,"2,243",31,11.5,0.2,"2,086",29,10.8,0.1,"2,159",30,11.2,0.2,"2,178",34,11.3,0.2,"2,274",33,11.9,0.2,"2,393",31,12.4,0.2,"2,610",32,13.6,0.2
,..TRICARE,178,11,0.9,0.1,166,9,0.8,Z,177,7,0.9,Z,177,8,0.9,Z,168,7,0.9,Z,167,8,0.9,Z,166,7,0.9,Z,168,9,0.9,Z,158,9,0.8,Z,158,7,0.8,Z,164,8,0.9,Z
,Public,"7,693",39,39.9,0.2,"7,766",49,39.6,0.2,"7,654",47,39.2,0.2,"7,513",44,38.4,0.2,"7,187",47,36.9,0.2,"6,834",46,35.2,0.2,"6,714",40,34.8,0.2,"6,555",37,34.1,0.2,"6,305",49,33.0,0.3,"6,118",44,31.8,0.2,"5,881",42,30.6,0.2
,..Medicaid,"5,054",43,26.2,0.2,"5,157",49,26.3,0.3,"5,128",48,26.3,0.2,"5,040",46,25.8,0.2,"4,746",47,24.3,0.2,"4,416",48,22.8,0.2,"4,348",40,22.5,0.2,"4,283",39,22.3,0.2,"4,058",49,21.2,0.3,"3,854",47,20.0,0.2,"3,648",44,19.0,0.2
,..Medicare,"3,434",16,17.8,0.1,"3,381",15,17.2,0.1,"3,272",13,16.8,0.1,"3,202",15,16.4,0.1,"3,138",12,16.1,0.1,"3,075",17,15.9,0.1,"3,003",12,15.5,0.1,"2,892",12,15.1,0.1,"2,826",14,14.8,0.1,"2,827",13,14.7,0.1,"2,805",13,14.6,0.1
,..VA Care,269,7,1.4,Z,265,8,1.3,Z,281,7,1.4,Z,268,8,1.4,Z,273,7,1.4,Z,274,7,1.4,Z,273,7,1.4,Z,271,8,1.4,Z,271,7,1.4,Z,284,8,1.5,Z,301,8,1.6,Z
NORTH CAROLINA,Total,"10,184",4,100.0,Z,"10,071",3,100.0,Z,"9,958",4,100.0,Z,"9,856",4,100.0,Z,"9,752",4,100.0,Z,"9,645",4,100.0,Z,"9,553",3,100.0,Z,"9,461",4,100.0,Z,"9,361",4,100.0,Z,"9,149",4,100.0,Z,"9,004",5,100.0,Z
,Any coverage,"9,092",25,89.3,0.2,"8,995",24,89.3,0.2,"8,919",21,89.6,0.2,"8,753",24,88.8,0.2,"8,476",24,86.9,0.3,"8,136",26,84.4,0.3,"7,970",26,83.4,0.3,"7,916",31,83.7,0.3,"7,791",28,83.2,0.3,"7,679",24,83.9,0.3,"7,613",26,84.5,0.3
,Uninsured,"1,092",25,10.7,0.2,"1,076",24,10.7,0.2,"1,038",21,10.4,0.2,"1,103",23,11.2,0.2,"1,276",25,13.1,0.3,"1,509",26,15.6,0.3,"1,582",26,16.6,0.3,"1,545",30,16.3,0.3,"1,570",28,16.8,0.3,"1,471",24,16.1,0.3,"1,391",26,15.5,0.3
,Private,"6,855",39,67.3,0.4,"6,752",43,67.0,0.4,"6,727",39,67.6,0.4,"6,581",40,66.8,0.4,"6,392",35,65.5,0.4,"6,104",36,63.3,0.4,"5,991",35,62.7,0.4,"6,019",43,63.6,0.5,"5,990",37,64.0,0.4,"6,020",32,65.8,0.3,"6,129",38,68.1,0.4
,..Employer-based,"5,363",39,52.7,0.4,"5,213",44,51.8,0.4,"5,104",37,51.3,0.4,"4,934",36,50.1,0.4,"4,887",33,50.1,0.3,"4,786",34,49.6,0.4,"4,765",37,49.9,0.4,"4,816",42,50.9,0.4,"4,758",34,50.8,0.4,"4,845",32,53.0,0.3,"4,968",36,55.2,0.4
,..Direct-purchase,"1,493",22,14.7,0.2,"1,519",26,15.1,0.3,"1,600",22,16.1,0.2,"1,591",27,16.1,0.3,"1,443",24,14.8,0.2,"1,300",23,13.5,0.2,"1,268",19,13.3,0.2,"1,284",24,13.6,0.3,"1,287",19,13.8,0.2,"1,263",25,13.8,0.3,"1,389",26,15.4,0.3
,..TRICARE,455,13,4.5,0.1,446,15,4.4,0.2,459,15,4.6,0.1,449,14,4.6,0.1,436,15,4.5,0.2,422,12,4.4,0.1,430,13,4.5,0.1,423,14,4.5,0.1,398,16,4.3,0.2,401,13,4.4,0.1,379,12,4.2,0.1
,Public,"3,537",27,34.7,0.3,"3,491",33,34.7,0.3,"3,459",29,34.7,0.3,"3,375",30,34.2,0.3,"3,254",24,33.4,0.3,"3,153",25,32.7,0.3,"3,067",24,32.1,0.3,"2,956",32,31.2,0.3,"2,845",26,30.4,0.3,"2,692",25,29.4,0.3,"2,520",25,28.0,0.3
,..Medicaid,"1,853",28,18.2,0.3,"1,863",33,18.5,0.3,"1,865",28,18.7,0.3,"1,851",31,18.8,0.3,"1,781",24,18.3,0.2,"1,729",28,17.9,0.3,"1,706",23,17.9,0.2,"1,653",31,17.5,0.3,"1,577",24,16.8,0.3,"1,484",26,16.2,0.3,"1,385",24,15.4,0.3
,..Medicare,"1,891",12,18.6,0.1,"1,833",11,18.2,0.1,"1,803",11,18.1,0.1,"1,742",11,17.7,0.1,"1,677",9,17.2,0.1,"1,619",10,16.8,0.1,"1,562",9,16.4,0.1,"1,490",11,15.7,0.1,"1,437",8,15.3,0.1,"1,372",10,15.0,0.1,"1,314",11,14.6,0.1
,..VA Care,301,8,3.0,0.1,286,9,2.8,0.1,289,8,2.9,0.1,259,7,2.6,0.1,257,7,2.6,0.1,253,9,2.6,0.1,242,6,2.5,0.1,229,8,2.4,0.1,215,7,2.3,0.1,222,7,2.4,0.1,213,7,2.4,0.1
NORTH DAKOTA,Total,744,1,100.0,Z,738,1,100.0,Z,741,1,100.0,Z,741,1,100.0,Z,724,1,100.0,Z,708,1,100.0,Z,685,1,100.0,Z,669,1,100.0,Z,661,1,100.0,Z,630,1,100.0,Z,624,1,100.0,Z
,Any coverage,690,4,92.7,0.6,683,5,92.5,0.6,689,5,93.0,0.6,683,5,92.2,0.7,668,5,92.1,0.7,635,5,89.6,0.8,616,5,90.0,0.7,604,4,90.2,0.7,596,5,90.2,0.7,569,4,90.3,0.6,561,5,90.0,0.8
,Uninsured,54,4,7.3,0.6,56,5,7.5,0.6,52,5,7.0,0.6,57,5,7.8,0.7,57,5,7.9,0.7,73,6,10.4,0.8,69,5,10.0,0.7,65,5,9.8,0.7,65,5,9.8,0.7,61,4,9.7,0.6,63,5,10.0,0.8
,Private,593,8,79.7,1.1,589,9,79.8,1.2,597,7,80.5,1.0,597,7,80.6,0.9,580,6,80.1,0.8,560,7,79.1,1.0,546,6,79.7,0.9,527,7,78.7,1.0,527,7,79.8,1.0,508,6,80.6,0.9,497,7,79.7,1.1
,..Employer-based,461,9,61.9,1.2,454,9,61.5,1.2,456,10,61.5,1.3,450,9,60.7,1.2,447,8,61.6,1.0,433,8,61.1,1.2,428,7,62.5,1.0,407,7,60.8,1.1,411,7,62.1,1.1,386,7,61.3,1.1,378,7,60.5,1.2
,..Direct-purchase,141,7,19.0,0.9,140,5,19.0,0.6,151,6,20.4,0.8,156,7,21.1,0.9,144,6,19.9,0.8,134,6,18.9,0.8,131,5,19.1,0.7,136,5,20.4,0.8,132,5,20.0,0.7,134,5,21.2,0.8,137,5,21.9,0.8
,..TRICARE,27,3,3.6,0.4,28,4,3.9,0.5,28,4,3.7,0.6,29,3,3.9,0.5,25,3,3.5,0.5,29,4,4.0,0.5,31,3,4.5,0.5,24,3,3.5,0.4,26,3,4.0,0.5,26,4,4.2,0.6,24,3,3.9,0.5
,Public,197,6,26.5,0.8,190,7,25.8,1.0,193,6,26.0,0.8,179,5,24.1,0.7,187,6,25.8,0.9,168,5,23.8,0.6,160,4,23.3,0.6,167,5,24.9,0.8,159,5,24.1,0.8,148,4,23.5,0.6,150,5,24.1,0.7
,..Medicaid,84,6,11.3,0.8,82,7,11.2,0.9,86,6,11.6,0.7,74,5,9.9,0.7,85,6,11.7,0.8,72,5,10.2,0.7,64,4,9.3,0.6,70,5,10.4,0.8,61,5,9.3,0.7,60,4,9.5,0.7,62,4,10.0,0.7
,..Medicare,121,2,16.3,0.3,114,2,15.4,0.3,116,2,15.6,0.3,114,2,15.4,0.3,109,2,15.1,0.3,105,2,14.9,0.3,104,2,15.2,0.2,102,2,15.2,0.3,103,2,15.6,0.3,98,2,15.5,0.3,95,2,15.2,0.2
,..VA Care,22,2,2.9,0.3,20,2,2.7,0.3,21,2,2.8,0.2,20,2,2.7,0.2,20,2,2.8,0.3,19,2,2.7,0.3,21,2,3.1,0.3,21,2,3.1,0.3,21,2,3.1,0.2,18,2,2.8,0.3,17,2,2.7,0.3
OHIO,Total,"11,517",1,100.0,Z,"11,485",1,100.0,Z,"11,440",1,100.0,Z,"11,442",1,100.0,Z,"11,421",1,100.0,Z,"11,398",2,100.0,Z,"11,372",1,100.0,Z,"11,369",1,100.0,Z,"11,359",6,100.0,Z,"11,352",2,100.0,Z,"11,296",2,100.0,Z
,Any coverage,"10,773",21,93.5,0.2,"10,799",22,94.0,0.2,"10,796",17,94.4,0.2,"10,696",19,93.5,0.2,"10,466",20,91.6,0.2,"10,141",21,89.0,0.2,"10,068",22,88.5,0.2,"10,015",24,88.1,0.2,"9,960",27,87.7,0.2,"9,969",28,87.8,0.2,"10,014",27,88.7,0.2
,Uninsured,744,20,6.5,0.2,686,22,6.0,0.2,644,18,5.6,0.2,746,19,6.5,0.2,955,20,8.4,0.2,"1,258",21,11.0,0.2,"1,304",22,11.5,0.2,"1,354",25,11.9,0.2,"1,399",27,12.3,0.2,"1,383",28,12.2,0.2,"1,282",27,11.3,0.2
,Private,"7,905",35,68.6,0.3,"7,934",43,69.1,0.4,"7,953",42,69.5,0.4,"7,970",32,69.7,0.3,"7,881",31,69.0,0.3,"7,814",41,68.6,0.4,"7,810",34,68.7,0.3,"7,840",39,69.0,0.3,"7,873",35,69.3,0.3,"8,021",38,70.7,0.3,"8,337",35,73.8,0.3
,..Employer-based,"6,754",36,58.6,0.3,"6,763",44,58.9,0.4,"6,777",41,59.2,0.4,"6,831",36,59.7,0.3,"6,817",33,59.7,0.3,"6,806",42,59.7,0.4,"6,852",35,60.3,0.3,"6,859",38,60.3,0.3,"6,903",37,60.8,0.3,"7,063",37,62.2,0.3,"7,382",36,65.4,0.3
,..Direct-purchase,"1,378",22,12.0,0.2,"1,387",23,12.1,0.2,"1,386",23,12.1,0.2,"1,329",20,11.6,0.2,"1,247",19,10.9,0.2,"1,220",22,10.7,0.2,"1,250",17,11.0,0.2,"1,298",24,11.4,0.2,"1,292",22,11.4,0.2,"1,322",20,11.6,0.2,"1,373",21,12.2,0.2
,..TRICARE,181,8,1.6,0.1,191,10,1.7,0.1,183,10,1.6,0.1,181,8,1.6,0.1,167,9,1.5,0.1,174,8,1.5,0.1,177,9,1.6,0.1,175,9,1.5,0.1,164,9,1.4,0.1,163,7,1.4,0.1,162,9,1.4,0.1
,Public,"4,323",33,37.5,0.3,"4,316",38,37.6,0.3,"4,305",36,37.6,0.3,"4,192",29,36.6,0.3,"3,991",23,34.9,0.2,"3,697",35,32.4,0.3,"3,680",30,32.4,0.3,"3,550",25,31.2,0.2,"3,473",31,30.6,0.3,"3,343",30,29.5,0.3,"3,095",26,27.4,0.2
,..Medicaid,"2,392",33,20.8,0.3,"2,415",38,21.0,0.3,"2,445",35,21.4,0.3,"2,366",29,20.7,0.3,"2,202",23,19.3,0.2,"1,976",34,17.3,0.3,"1,981",30,17.4,0.3,"1,907",25,16.8,0.2,"1,853",29,16.3,0.3,"1,791",30,15.8,0.3,"1,574",28,13.9,0.2
,..Medicare,"2,172",10,18.9,0.1,"2,127",12,18.5,0.1,"2,088",11,18.3,0.1,"2,037",11,17.8,0.1,"1,996",13,17.5,0.1,"1,921",10,16.9,0.1,"1,900",11,16.7,0.1,"1,834",9,16.1,0.1,"1,795",11,15.8,0.1,"1,754",10,15.5,0.1,"1,709",10,15.1,0.1
,..VA Care,274,8,2.4,0.1,269,8,2.3,0.1,263,7,2.3,0.1,273,7,2.4,0.1,260,7,2.3,0.1,248,7,2.2,0.1,260,6,2.3,0.1,248,6,2.2,0.1,245,8,2.2,0.1,226,6,2.0,0.1,232,8,2.1,0.1
OKLAHOMA,Total,"3,862",2,100.0,Z,"3,851",2,100.0,Z,"3,846",1,100.0,Z,"3,830",2,100.0,Z,"3,798",1,100.0,Z,"3,770",1,100.0,Z,"3,733",2,100.0,Z,"3,710",1,100.0,Z,"3,677",2,100.0,Z,"3,590",2,100.0,Z,"3,550",2,100.0,Z
,Any coverage,"3,313",13,85.8,0.3,"3,306",11,85.8,0.3,"3,316",13,86.2,0.3,"3,298",11,86.1,0.3,"3,214",11,84.6,0.3,"3,104",13,82.3,0.3,"3,048",12,81.6,0.3,"3,017",15,81.3,0.4,"2,984",12,81.1,0.3,"2,919",17,81.3,0.5,"2,886",15,81.3,0.4
,Uninsured,548,13,14.2,0.3,545,12,14.2,0.3,530,13,13.8,0.3,533,12,13.9,0.3,584,11,15.4,0.3,666,13,17.7,0.3,685,12,18.4,0.3,694,15,18.7,0.4,694,13,18.9,0.3,672,17,18.7,0.5,664,14,18.7,0.4
,Private,"2,475",19,64.1,0.5,"2,465",18,64.0,0.5,"2,461",18,64.0,0.5,"2,477",15,64.7,0.4,"2,410",17,63.5,0.4,"2,300",20,61.0,0.5,"2,283",15,61.2,0.4,"2,276",20,61.3,0.5,"2,273",20,61.8,0.5,"2,254",20,62.8,0.6,"2,280",22,64.2,0.6
,..Employer-based,"1,963",20,50.8,0.5,"1,950",18,50.6,0.5,"1,915",18,49.8,0.5,"1,948",17,50.9,0.4,"1,917",19,50.5,0.5,"1,850",18,49.1,0.5,"1,864",16,49.9,0.4,"1,866",19,50.3,0.5,"1,834",19,49.9,0.5,"1,828",19,50.9,0.5,"1,868",23,52.6,0.7
,..Direct-purchase,520,12,13.5,0.3,516,10,13.4,0.3,538,10,14.0,0.3,523,12,13.7,0.3,488,12,12.9,0.3,445,12,11.8,0.3,454,10,12.2,0.3,441,11,11.9,0.3,467,11,12.7,0.3,469,12,13.1,0.3,495,13,14.0,0.4
,..TRICARE,151,9,3.9,0.2,151,8,3.9,0.2,150,8,3.9,0.2,148,7,3.9,0.2,145,7,3.8,0.2,147,7,3.9,0.2,144,8,3.9,0.2,143,8,3.9,0.2,143,8,3.9,0.2,145,8,4.1,0.2,142,7,4.0,0.2
,Public,"1,335",14,34.6,0.4,"1,333",14,34.6,0.4,"1,329",14,34.6,0.4,"1,290",15,33.7,0.4,"1,260",13,33.2,0.3,"1,252",15,33.2,0.4,"1,209",10,32.4,0.3,"1,180",15,31.8,0.4,"1,149",14,31.3,0.4,"1,094",16,30.5,0.5,"1,045",15,29.4,0.4
,..Medicaid,683,15,17.7,0.4,697,13,18.1,0.3,698,14,18.2,0.4,670,14,17.5,0.4,663,13,17.5,0.3,666,14,17.7,0.4,642,10,17.2,0.3,632,14,17.0,0.4,617,14,16.8,0.4,595,16,16.6,0.4,562,15,15.8,0.4
,..Medicare,704,6,18.2,0.2,694,6,18.0,0.2,686,5,17.8,0.1,675,6,17.6,0.2,647,5,17.0,0.1,632,6,16.8,0.1,621,5,16.6,0.1,598,6,16.1,0.2,581,5,15.8,0.1,562,6,15.6,0.2,549,5,15.5,0.2
,..VA Care,131,4,3.4,0.1,125,5,3.2,0.1,129,5,3.3,0.1,125,4,3.3,0.1,120,4,3.2,0.1,123,4,3.3,0.1,116,4,3.1,0.1,117,5,3.2,0.1,113,4,3.1,0.1,108,4,3.0,0.1,107,4,3.0,0.1
OREGON,Total,"4,151",1,100.0,Z,"4,103",1,100.0,Z,"4,054",1,100.0,Z,"3,991",Z,100.0,Z,"3,931",1,100.0,Z,"3,893",1,100.0,Z,"3,860",1,100.0,Z,"3,833",1,100.0,Z,"3,799",1,100.0,Z,"3,780",1,100.0,Z,"3,746",1,100.0,Z
,Any coverage,"3,858",13,92.9,0.3,"3,822",12,93.2,0.3,"3,802",10,93.8,0.2,"3,711",12,93.0,0.3,"3,549",13,90.3,0.3,"3,322",15,85.3,0.4,"3,284",17,85.1,0.4,"3,230",15,84.3,0.4,"3,148",16,82.9,0.4,"3,137",18,83.0,0.5,"3,153",18,84.2,0.5
,Uninsured,293,13,7.1,0.3,281,12,6.8,0.3,253,10,6.2,0.2,280,12,7.0,0.3,383,13,9.7,0.3,571,15,14.7,0.4,576,17,14.9,0.4,602,15,15.7,0.4,652,16,17.1,0.4,643,18,17.0,0.5,593,18,15.8,0.5
,Private,"2,811",23,67.7,0.6,"2,770",22,67.5,0.5,"2,768",22,68.3,0.5,"2,673",22,67.0,0.5,"2,563",20,65.2,0.5,"2,558",25,65.7,0.6,"2,536",22,65.7,0.6,"2,512",23,65.5,0.6,"2,536",23,66.7,0.6,"2,594",22,68.6,0.6,"2,673",24,71.4,0.6
,..Employer-based,"2,231",22,53.8,0.5,"2,174",23,53.0,0.6,"2,168",25,53.5,0.6,"2,070",23,51.9,0.6,"2,039",21,51.9,0.5,"2,054",26,52.8,0.7,"2,047",25,53.0,0.6,"2,022",24,52.8,0.6,"2,033",24,53.5,0.6,"2,099",22,55.5,0.6,"2,174",24,58.0,0.7
,..Direct-purchase,646,16,15.6,0.4,639,14,15.6,0.3,660,14,16.3,0.3,655,16,16.4,0.4,571,12,14.5,0.3,564,15,14.5,0.4,576,14,14.9,0.4,570,12,14.9,0.3,583,13,15.3,0.3,597,15,15.8,0.4,620,16,16.6,0.4
,..TRICARE,88,6,2.1,0.1,84,7,2.0,0.2,81,6,2.0,0.1,84,6,2.1,0.1,82,7,2.1,0.2,72,5,1.8,0.1,78,6,2.0,0.2,75,6,2.0,0.2,75,6,2.0,0.2,70,5,1.9,0.1,69,5,1.8,0.1
,Public,"1,627",21,39.2,0.5,"1,629",20,39.7,0.5,"1,614",21,39.8,0.5,"1,607",20,40.3,0.5,"1,517",20,38.6,0.5,"1,264",19,32.5,0.5,"1,249",16,32.3,0.4,"1,200",16,31.3,0.4,"1,087",16,28.6,0.4,"1,009",15,26.7,0.4,941,18,25.1,0.5
,..Medicaid,919,21,22.2,0.5,944,20,23.0,0.5,947,23,23.3,0.6,959,19,24.0,0.5,898,19,22.8,0.5,662,18,17.0,0.5,672,17,17.4,0.4,645,17,16.8,0.4,552,16,14.5,0.4,498,15,13.2,0.4,438,16,11.7,0.4
,..Medicare,798,7,19.2,0.2,776,7,18.9,0.2,753,6,18.6,0.2,731,7,18.3,0.2,704,5,17.9,0.1,677,7,17.4,0.2,645,5,16.7,0.1,617,5,16.1,0.1,597,6,15.7,0.1,567,6,15.0,0.1,554,7,14.8,0.2
,..VA Care,135,6,3.2,0.1,124,5,3.0,0.1,131,5,3.2,0.1,127,5,3.2,0.1,120,5,3.1,0.1,112,4,2.9,0.1,120,6,3.1,0.1,111,6,2.9,0.1,103,4,2.7,0.1,104,5,2.7,0.1,108,5,2.9,0.1
PENNSYLVANIA,Total,"12,604",1,100.0,Z,"12,602",1,100.0,Z,"12,579",1,100.0,Z,"12,599",1,100.0,Z,"12,583",1,100.0,Z,"12,569",1,100.0,Z,"12,559",1,100.0,Z,"12,540",1,100.0,Z,"12,506",1,100.0,Z,"12,366",2,100.0,Z,"12,209",2,100.0,Z
,Any coverage,"11,905",16,94.5,0.1,"11,910",21,94.5,0.2,"11,871",21,94.4,0.2,"11,797",17,93.6,0.1,"11,518",21,91.5,0.2,"11,347",22,90.3,0.2,"11,335",20,90.2,0.2,"11,275",23,89.9,0.2,"11,235",25,89.8,0.2,"11,146",25,90.1,0.2,"11,106",24,91.0,0.2
,Uninsured,699,17,5.5,0.1,692,21,5.5,0.2,708,21,5.6,0.2,802,17,6.4,0.1,"1,065",21,8.5,0.2,"1,222",22,9.7,0.2,"1,225",20,9.8,0.2,"1,265",23,10.1,0.2,"1,271",25,10.2,0.2,"1,220",25,9.9,0.2,"1,103",24,9.0,0.2
,Private,"9,120",34,72.4,0.3,"9,143",34,72.5,0.3,"9,165",42,72.9,0.3,"9,262",35,73.5,0.3,"9,206",37,73.2,0.3,"9,075",39,72.2,0.3,"9,056",30,72.1,0.2,"9,034",42,72.0,0.3,"9,111",41,72.9,0.3,"9,200",34,74.4,0.3,"9,352",35,76.6,0.3
,..Employer-based,"7,488",36,59.4,0.3,"7,470",37,59.3,0.3,"7,390",46,58.7,0.4,"7,502",37,59.5,0.3,"7,488",40,59.5,0.3,"7,550",36,60.1,0.3,"7,595",34,60.5,0.3,"7,553",42,60.2,0.3,"7,618",42,60.9,0.3,"7,749",35,62.7,0.3,"7,878",36,64.5,0.3
,..Direct-purchase,"1,896",23,15.0,0.2,"1,916",23,15.2,0.2,"2,041",28,16.2,0.2,"2,014",22,16.0,0.2,"1,961",23,15.6,0.2,"1,800",19,14.3,0.2,"1,788",20,14.2,0.2,"1,811",23,14.4,0.2,"1,855",22,14.8,0.2,"1,911",25,15.5,0.2,"2,062",30,16.9,0.2
,..TRICARE,193,9,1.5,0.1,183,8,1.5,0.1,184,8,1.5,0.1,167,9,1.3,0.1,178,8,1.4,0.1,167,8,1.3,0.1,172,7,1.4,0.1,179,9,1.4,0.1,164,8,1.3,0.1,155,8,1.3,0.1,163,8,1.3,0.1
,Public,"4,709",31,37.4,0.2,"4,641",31,36.8,0.2,"4,580",31,36.4,0.3,"4,368",34,34.7,0.3,"4,131",29,32.8,0.2,"4,057",29,32.3,0.2,"4,038",29,32.2,0.2,"3,989",29,31.8,0.2,"3,912",29,31.3,0.2,"3,724",26,30.1,0.2,"3,562",27,29.2,0.2
