"","X1","X1_6","X1_5","X1_4","X1_3","X1_2","X1_1","id","name","address","city","state","zip","county","telephone","type","owner","emergency_services","meets_criteria_for_meaningful_use_of_eh_rs","hospital_overall_rating","hospital_overall_rating_footnote","mortality_national_comparison","mortality_national_comparison_footnote","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","readmission_national_comparison_footnote","patient_experience_national_comparison","patient_experience_national_comparison_footnote","effectiveness_of_care_national_comparison","effectiveness_of_care_national_comparison_footnote","timeliness_of_care_national_comparison","timeliness_of_care_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison","efficient_use_of_medical_imaging_national_comparison_footnote","long","lat","overall_type","ny_metro"
"71",71,71,71,71,71,71,71,"400048","Hospital Menonita Guayama","Ave. Pedro Albizu Campos Urb. La Hacienda","Guayama","PR",785,"Guayanilla","(787) 864-4300","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Below the national average",NA,"Below the national average",NA,"Not Available",5,NA,NA,"medicare","N"
"72",72,72,72,72,72,72,72,"450152","Adventhealth Central Texas","2201 S Clear Creek Road","Killeen","TX",76542,"Bell","(254) 526-7523","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-97.799519,31.11335,"medicare","N"
"73",73,73,73,73,73,73,73,"340010","Wayne Memorial Hospital","2700 Wayne Memorial Dr","Goldsboro","NC",27534,"Wayne","(919) 736-1110","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-77.953342,35.400831,"medicare","N"
"74",74,74,74,74,74,74,74,"61325","Pioneers Medical Center","100 Pioneers Medical Center Dr","Meeker","CO",81641,"Rio Blanco","(970) 878-5047","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",5,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,NA,NA,"medicare","N"
"75",75,75,75,75,75,75,75,"390225","Wellspan Ephrata Community Hospital","169 Martin Avenue","Ephrata","PA",17522,"Lancaster","(717) 733-0311","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-76.184268,40.186866,"medicare","N"
"76",76,76,76,76,76,76,76,"450203","Medical City Weatherford","713 E Anderson St","Weatherford","TX",76086,"Parker","(817) 599-1190","Acute Care Hospitals","Proprietary",TRUE,TRUE,"3",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-97.785369,32.747472,"medicare","N"
"77",77,77,77,77,77,77,77,"230142","Beaumont Hospital - Wayne","33155 Annapolis Ave","Wayne","MI",48184,"Wayne","(734) 467-4175","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-83.365625,42.274275,"medicare","N"
"78",78,78,78,78,78,78,78,"20017","Alaska Regional Hospital","2801 Debarr Road","Anchorage","AK",99508,"Anchorage","(907) 276-1131","Acute Care Hospitals","Proprietary",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-149.827379,61.20979,"medicare","N"
"79",79,79,79,79,79,79,79,"230121","Memorial Healthcare","826 West King Street","Owosso","MI",48867,"Shiawassee","(989) 723-5211","Acute Care Hospitals","Voluntary non-profit - Other",FALSE,TRUE,"4",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-84.182076,43.005075,"medicare","N"
"80",80,80,80,80,80,80,80,"301303","Weeks Medical Center","173 Middle Street","Lancaster","NH",3584,"Coos","(603) 788-4911","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,-71.554156,44.48699,"medicare","N"
"81",81,81,81,81,81,81,81,"194106","Compass Behavioral Center Of Alexandria, Inc","6410 Masonic Drive","Alexandria","LA",71301,"Rapides","(318) 442-3163","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-92.481496,31.251902,"medicare","N"
"82",82,82,82,82,82,82,82,"461304","Central Valley Medical Center - Cah","48 West 1500 North","Nephi","UT",84648,"Juab","(435) 623-3000","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Not Available",5,"Not Available",5,"Below the national average",NA,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Not Available",5,-111.837215,39.730587,"medicare","N"
"83",83,83,83,83,83,83,83,"200063","Penobscot Bay Medical Center","6 Glen Cove Drive","Rockport","ME",4856,"Knox","(207) 921-8000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-69.086537,44.144434,"medicare","N"
"84",84,84,84,84,84,84,84,"490098","Community Memorial Hospital","1755 North Mecklenburg Avenue","South Hill","VA",23970,"Mecklenburg","(434) 447-3151","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Below the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-78.104106,36.747656,"medicare","N"
"85",85,85,85,85,85,85,85,"190259","Lafayette Surgical Specialty Hospital","1101 Kaliste Saloom Rd","Lafayette","LA",70508,"Lafayette","(337) 769-4100","Acute Care Hospitals","Proprietary",FALSE,TRUE,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Above the national average",NA,"Not Available",5,"Not Available",16,"Not Available",5,-92.02802,30.175866,"medicare","N"
"86",86,86,86,86,86,86,86,"520075","St Vincent Hospital","835 S Van Buren St","Green Bay","WI",54301,"Brown","(920) 433-0111","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-88.013175,44.501039,"medicare","N"
"87",87,87,87,87,87,87,87,"160122","Fort Madison Community Hospital","5445 Ave O","Fort Madison","IA",52627,"Lee","(319) 372-6530","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-91.382067,40.624167,"medicare","N"
"88",88,88,88,88,88,88,88,"263303","Ranken Jordan Pediatric Bridge Hospital","11365 Dorsett Road","Maryland Heights","MO",63043,"St. Louis","(314) 872-6400","Childrens","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-90.415893,38.7095,"medicare","N"
"89",89,89,89,89,89,89,89,"191324","Ochsner St Anne General Hospital","4608 Highway 1","Raceland","LA",70394,"Lafourche","(985) 537-8377","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-90.564133,29.703447,"medicare","N"
"90",90,90,90,90,90,90,90,"531307","Community Hospital","2000 Campbell Drive","Torrington","WY",82240,"Goshen","(307) 532-4181","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,-104.191509,42.081765,"medicare","N"
"91",91,91,91,91,91,91,91,"431328","Pioneer Memorial Hospital - Cah","315 N Washington Ave  Post Office Box 368","Viborg","SD",57070,"Turner","(605) 326-5161","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,NA,NA,"medicare","N"
"92",92,92,92,92,92,92,92,"670117","Texas General Hospital- Vzrmc Lp","707 N Waldrip St","Grand Saline","TX",75140,"Van Zandt","(903) 962-5200","Acute Care Hospitals","Proprietary",TRUE,NA,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Not Available",16,-95.721737,32.679193,"medicare","N"
"93",93,93,93,93,93,93,93,"361332","Highland District Hospital","1275 North High Street","Hillsboro","OH",45133,"Highland","(937) 393-6100","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,NA,"3",NA,"Same as the national average",NA,"Not Available",16,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-83.608771,39.221576,"medicare","N"
"94",94,94,94,94,94,94,94,"394012","Clarks Summit State Hospital","1451 Hillside Drive","Clarks Summit","PA",18411,"Lackawanna","(570) 586-2011","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-75.73559,41.484494,"medicare","N"
"95",95,95,95,95,95,95,95,"170197","Kansas Medical Center Llc","1124 West 21st Street","Andover","KS",67002,"Butler","(316) 300-4000","Acute Care Hospitals","Proprietary",TRUE,NA,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,-97.14648,37.72324,"medicare","N"
"96",96,96,96,96,96,96,96,"340129","Lake Norman Regional Medical Center","171 Fairview Road","Mooresville","NC",28117,"Iredell","(704) 660-4000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-80.852939,35.547748,"medicare","N"
"97",97,97,97,97,97,97,97,"190086","Northern Louisiana Medical Center","401 East Vaughn Avenue","Ruston","LA",71270,"Lincoln","(318) 254-2100","Acute Care Hospitals","Proprietary",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Not Available",5,-92.633902,32.515281,"medicare","N"
"98",98,98,98,98,98,98,98,"221302","Fairview Hospital","29 Lewis Avenue","Great Barrington","MA",1230,"Berkshire","(413) 528-0790","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,NA,"5",NA,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,-73.372523,42.191982,"medicare","N"
"99",99,99,99,99,99,99,99,"390068","Upmc Lititz","1500 Highlands Drive","Lititz","PA",17543,"Lancaster","(717) 625-5670","Acute Care Hospitals","Proprietary",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Not Available",5,-76.309414,40.134257,"medicare","N"
"100",100,100,100,100,100,100,100,"420038","Prisma Health Laurens County Hospital","22725 Highway 76 East","Clinton","SC",29325,"Laurens","(864) 833-9100","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-81.941152,34.479718,"medicare","N"
"101",101,101,101,101,101,101,101,"50423","Palo Verde Hospital","250 North First Street","Blythe","CA",92225,"Riverside","(760) 922-4115","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,NA,"3",NA,"Not Available",5,"Not Available",5,"Same as the national average",NA,"Not Available",16,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-114.595479,33.61245,"medicare","N"
"102",102,102,102,102,102,102,102,"490077","Martha Jefferson Hospital","500 Martha Jefferson Drive","Charlottesville","VA",22911,"Albemarle","(434) 654-7000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"5",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-78.444855,38.025106,"medicare","N"
"103",103,103,103,103,103,103,103,"371322","Beaver County Memorial Hospital","212 East 8th Street","Beaver","OK",73932,"Beaver","(580) 625-4551","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,"Same as the national average",NA,"Not Available",16,-100.516424,36.810195,"medicare","N"
"104",104,104,104,104,104,104,104,"151319","Gibson General Hospital","1808 Sherman Dr","Princeton","IN",47670,"Gibson","(812) 385-3401","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Not Available",5,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,-87.589559,38.360231,"medicare","N"
"105",105,105,105,105,105,105,105,"110111","University Hospital Mcduffie","2460 Washington Road","Thomson","GA",30824,"Mc Duffie","(706) 595-1411","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"3",NA,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,"Not Available",16,"Below the national average",NA,"Same as the national average",NA,"Not Available",5,-82.504478,33.523226,"medicare","N"
